tm,rnum,stnId,stnNm,ta,taQcflg,rn,rnQcflg,ws,wsQcflg,wd,wdQcflg,hm,hmQcflg,pv,td,pa,paQcflg,ps,psQcflg,ss,ssQcflg,icsr,dsnw,hr3Fhsc,dc10Tca,dc10LmcsCa,clfmAbbrCd,lcsCh,vs,gndSttCd,dmstMtphNo,ts,tsQcflg,m005Te,m01Te,m02Te,m03Te
2024-12-04 15:00,1,108,서울,6.8,,,9,3.3,,250,,38,,3.8,-6.5,1009.6,,1020.1,,1.0,,1.46,,,2,0,Ci,,3622,,,6.4,,4.5,3.9,4.9,6.2
2024-12-04 16:00,1,108,서울,6.6,,,9,3.5,,250,,41,,4.0,-5.7,1009.4,,1020.0,,1.0,,0.85,,,2,0,Ci,,3718,,,4.2,,4.6,4.2,5.0,6.2
2024-12-04 17:00,1,108,서울,5.2,,,9,2.4,,270,,46,,4.1,-5.5,1009.1,,1019.7,,0.7,,0.28,,,1,0,Ci,,3512,,,1.7,,4.6,4.3,5.2,6.2
2024-12-04 18:00,1,108,서울,4.3,,,9,2.8,,270,,52,,4.3,-4.7,1008.8,,1019.4,,0.0,,0.01,,,0,0,,,3247,,,0.6,,4.3,4.2,5.3,6.3
2025-06-04 12:00,1,108,서울,24.8,,,,4.8,,250,,40,,12.4,10.2,991.8,,1001.5,,1.0,,3.59,,,0,0,,,3632,,,53.8,,24.1,21.4,17.9,17.5
2025-06-04 13:00,1,108,서울,24.9,,,,6.2,,250,,34,,10.6,7.9,991.8,,1001.5,,1.0,,3.74,,,0,0,,,3670,,,54.4,,25.2,22.5,18.0,17.3
2025-06-04 14:00,1,108,서울,24.8,,,,5.4,,250,,36,,11.2,8.7,991.8,,1001.5,,1.0,,3.66,,,0,0,,,3515,,,53.0,,25.9,23.4,18.2,17.2
2025-06-04 15:00,1,108,서울,24.9,,,,5.0,,270,,39,,12.2,9.9,991.9,,1001.6,,1.0,,3.35,,,0,0,,,3441,,,49.3,,26.5,24.0,18.5,17.2
2025-06-04 16:00,1,108,서울,24.3,,,,4.8,,270,,39,,11.8,9.4,992.1,,1001.8,,0.9,,2.67,,,2,2,Sc,15,4355,,,41.4,,26.7,24.4,18.8,17.4
2025-11-17 00:00,1,108,서울,9.7,,,9,3.9,,290,,59,,7.1,2.0,1015.6,,1026.1,,,9,,,,0,0,,,1702,,4019,6.5,,10.6,11.0,11.4,11.5
2025-11-17 01:00,1,108,서울,8.5,,,,2.9,,290,,55,,6.1,0.0,1016.1,,1026.7,,,9,,,,3,3,,51,2705,,,5.2,,10.0,10.6,11.4,11.5
2025-11-17 02:00,1,108,서울,7.7,,,,3.8,,290,,52,,5.5,-1.5,1016.9,,1027.5,,,9,,,,7,7,,42,2609,,,4.9,,9.4,10.2,11.4,11.5
2025-11-17 03:00,1,108,서울,6.3,,,,4.6,,270,,32,,3.0,-9.2,1017.9,,1028.6,,,9,,,,2,2,Ac,45,2868,,,3.0,,8.8,9.8,11.3,11.6
